unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
165,2025-05-03,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,18,1,0,1,0.0,1.0,0.428,indireto
165,2025-05-05,8,1,0,1,0.0,1.0,0.672,indireto
165,2025-05-05,9,1,0,1,0.0,1.0,2.571,indireto
165,2025-05-05,10,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,13,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-05,18,1,0,1,0.0,1.0,5.744,indireto
165,2025-05-05,19,1,0,1,0.0,1.0,0.619,indireto
165,2025-05-06,8,1,0,1,0.0,1.0,0.313,indireto
165,2025-05-06,9,1,0,1,0.0,1.0,0.801,indireto
165,2025-05-06,10,1,0,1,0.0,1.0,2.109,indireto
165,2025-05-06,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,13,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-06,18,1,0,1,0.0,1.0,5.171,indireto
165,2025-05-07,9,1,0,1,0.0,1.0,4.277,indireto
165,2025-05-07,10,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,13,1,0,1,0.0,1.0,4.443,indireto
165,2025-05-07,14,1,0,1,0.0,1.0,5.526,indireto
165,2025-05-07,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,18,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-07,19,1,0,1,0.0,1.0,1.625,indireto
165,2025-05-09,8,1,0,1,0.0,1.0,3.943,indireto
165,2025-05-09,9,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-09,10,1,0,1,0.0,1.0,5.744,indireto
165,2025-05-09,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-09,12,1,0,1,0.0,1.0,4.673,indireto
165,2025-05-09,13,1,0,1,0.0,1.0,0.952,indireto
165,2025-05-09,14,1,0,1,0.0,1.0,0.952,indireto
165,2025-05-09,15,1,0,1,0.0,1.0,0.952,indireto
165,2025-05-09,17,1,0,1,0.0,1.0,2.063,indireto
165,2025-05-09,18,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-09,19,1,0,1,0.0,1.0,1.885,indireto
165,2025-05-10,11,1,0,1,0.0,1.0,5.686,indireto
165,2025-05-10,12,1,0,1,0.0,1.0,5.707,indireto
165,2025-05-10,13,1,0,1,0.0,1.0,4.859,indireto
165,2025-05-10,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-10,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-10,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-10,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-10,18,1,0,1,0.0,1.0,2.431,indireto
165,2025-05-14,10,1,0,1,0.0,1.0,0.516,indireto
165,2025-05-14,11,1,0,1,0.0,1.0,1.268,indireto
165,2025-05-14,12,1,0,1,0.0,1.0,2.288,indireto
165,2025-05-14,13,1,0,1,0.0,1.0,4.281,indireto
165,2025-05-14,14,1,0,1,0.0,1.0,2.993,indireto
165,2025-05-14,15,1,0,1,0.0,1.0,1.306,indireto
165,2025-05-14,16,1,0,1,0.0,1.0,1.024,indireto
165,2025-05-14,17,1,0,1,0.0,1.0,0.422,indireto
165,2025-05-15,10,1,0,1,0.0,1.0,1.561,indireto
165,2025-05-15,11,1,0,1,0.0,1.0,4.927,indireto
165,2025-05-15,12,1,0,1,0.0,1.0,5.744,indireto
